"price","nom","km","year","fuel","power","phone","city","cp","type","url","marque","site","ref","dateScrap"
47500,,21700,2014,"Diesel","190 CH / 140 kW","http://gocar.be/imagetext/3/c4/3c42ece6bbd0791a6416fa88613a51f0_2_vw.gif","naast","7062","undefinedX4 ","http://gocar.be/fr/autovlan/voiture-occasion/BMW/X4/details-mmbmvjkn?src=r","BMW","GoCar","GC_mmbmvjkn","2016-10-07T09:03:34.046Z"
12900,,70000,2011,"Essence","122 CH / 90 kW","http://gocar.be/imagetext/9/14/9146056f1b4f2b3a9237e9d08d59c73a_2_vw.gif","ZELLIK","1731","undefined316 I ","http://gocar.be/fr/autovlan/voiture-occasion/BMW/316-I/details-s1bmcllv?src=r","BMW","GoCar","GC_s1bmcllv","2016-10-07T09:03:34.122Z"
110000,,2000,2009,"Diesel","204 CH / 150 kW","http://gocar.be/imagetext/3/85/385d111659de3d48062d263484a16625_2_vw.gif","GENT","9000","undefineda4 ","http://gocar.be/fr/autovlan/voiture-occasion/Audi/a4/details-v3bmvgm9?src=r","Audi","GoCar","GC_v3bmvgm9","2016-10-07T09:03:34.137Z"
7500,,34500,2013,"Essence","73 CH / 54 kW","http://gocar.be/imagetext/8/17/81711a8b0d75b354ec213ddefed66e55_2_vw.gif","Melsele","9120","undefined207 1.4i Acces ","http://gocar.be/fr/autovlan/voiture-occasion/Peugeot/207-14i-Acces/details-u7bmu945?src=r","Peugeot","GoCar","GC_u7bmu945","2016-10-07T09:03:34.153Z"
31500,,37200,2012,"Essence","170 CH / 125 kW","http://gocar.be/imagetext/3/9d/39d82308da5221ef76d284f30951aa5c_2_vw.gif","Aalter","9880","undefinedA4 ","http://gocar.be/fr/autovlan/voiture-occasion/Audi/A4/details-rxbmwthb?src=r","Audi","GoCar","GC_rxbmwthb","2016-10-07T09:03:34.168Z"
17990,,57000,2012,"Diesel","116 CH / 85 kW","http://gocar.be/imagetext/0/39/0395c2906a0f1d90c9d5da37bcaf0bad_2_vw.gif","cul des sarts","5660","undefinedserie 3 sport ","http://gocar.be/fr/autovlan/voiture-occasion/BMW/serie-3-sport/details-rxbmwhf2?src=r","BMW","GoCar","GC_rxbmwhf2","2016-10-07T09:03:34.199Z"
43000,,16000,2016,,163,,"Bruxelles","1060",,"http://fr.ww3.autoscout24.be/classified/297436079?asrc=st|as","Mercedes-Benz","Autoscout24","AS_297436079","2016-10-07T09:03:39.613Z"
21000,,53000,2014,,116,,"Bruxelles","1020",,"http://fr.ww3.autoscout24.be/classified/297435970?asrc=st|as","BMW","Autoscout24","AS_297435970","2016-10-07T09:03:45.569Z"
16599,,11633,2016,,75,,"Hainaut","7750",,"http://fr.ww3.autoscout24.be/classified/297435855?asrc=st|as","Volkswagen","Autoscout24","AS_297435855","2016-10-07T09:03:51.356Z"
15100,,90000,2013,,105,,"Deinze","9800",,"http://fr.ww3.autoscout24.be/classified/297435640?asrc=st|as","Volkswagen","Autoscout24","AS_297435640","2016-10-07T09:03:57.374Z"
